date,time,place,latitude,longitude,depth,magnitude,sindo
2018/12/31,23:10:23.2,福島県沖,37°20.5′N,141°33.6′E,45 km,5.0,3
2018/12/31,16:53:36.1,岩手県沖,40°21.3′N,142°05.0′E,50 km,3.4,1
2018/12/31,13:00:43.9,宮城県沖,38°48.9′N,141°35.1′E,73 km,3.6,1
2018/12/31,03:46:33.3,宮崎県北部山沿い,32°43.7′N,131°15.8′E,125 km,3.7,1
2018/12/30,22:48:12.1,熊本県熊本地方,32°42.7′N,130°42.5′E,11 km,2.0,1
2018/12/30,14:16:10.6,神奈川県東部,35°24.7′N,139°29.2′E,115 km,3.7,1
2018/12/30,11:39:13.6,宮古島近海,24°43.8′N,125°24.8′E,45 km,3.5,1
2018/12/30,09:03:14.4,鹿児島湾,31°37.7′N,130°46.2′E,6 km,2.3,1
2018/12/30,08:52:00.2,父島近海,27°13.0′N,141°52.0′E,117 km,4.2,2
2018/12/30,04:08:30.9,十勝地方南部,42°19.6′N,143°06.8′E,51 km,5.3,4
2018/12/29,17:16:58.8,京都府北部,35°18.8′N,135°16.8′E,12 km,2.7,1
2018/12/29,05:36:01.1,トカラ列島近海,29°44.6′N,129°58.9′E,99 km,3.9,1
2018/12/29,05:12:01.9,紀伊水道,34°06.9′N,135°06.9′E,5 km,2.9,2
2018/12/28,22:03:33.2,択捉島南東沖,43°51.3′N,148°17.8′E,0 km,5.0,1
2018/12/28,13:22:46.4,紀伊水道,34°01.3′N,135°08.9′E,6 km,2.8,2
2018/12/28,12:22:04.1,長野県南部,35°51.3′N,137°35.9′E,6 km,2.0,1
2018/12/27,16:42:27.9,釧路沖,42°45.2′N,145°28.9′E,46 km,3.6,1
2018/12/27,14:16:04.6,宮城県沖,37°55.6′N,141°33.1′E,89 km,3.7,1
2018/12/27,09:54:55.2,富山県東部,36°29.8′N,137°29.3′E,7 km,3.4,2
2018/12/27,01:48:52.1,宮城県沖,38°43.1′N,142°15.3′E,39 km,4.6,2
2018/12/27,00:38:26.8,宮城県沖,38°28.0′N,141°57.4′E,42 km,3.6,1
2018/12/26,19:29:02.6,父島近海,26°28.7′N,142°30.0′E,38 km,3.8,1
2018/12/26,17:20:31.9,国後島付近,44°12.3′N,146°42.1′E,146 km,4.2,1
2018/12/26,14:44:38.0,淡路島付近,34°21.7′N,134°53.7′E,12 km,2.7,1
2018/12/26,12:07:04.9,群馬県南部,36°27.1′N,139°09.2′E,13 km,2.5,1
2018/12/26,07:20:22.3,岐阜県美濃中西部,35°47.0′N,136°53.0′E,12 km,2.9,1
2018/12/26,03:57:30.6,栃木県南部,36°34.8′N,139°29.0′E,7 km,2.4,1
2018/12/25,23:51:50.6,胆振地方中東部,42°48.8′N,142°00.6′E,34 km,2.7,1
2018/12/25,20:34:25.4,広島県北部,34°58.9′N,132°49.3′E,13 km,2.4,1
2018/12/25,17:07:49.0,紀伊水道,34°07.0′N,135°07.2′E,4 km,1.8,1
2018/12/25,15:33:49.8,日向灘,31°45.2′N,131°58.6′E,27 km,4.0,1
2018/12/25,14:44:18.1,日向灘,31°44.9′N,131°59.0′E,26 km,4.1,2
2018/12/25,04:02:42.4,大阪府北部,34°51.4′N,135°38.0′E,12 km,2.5,1
2018/12/25,03:54:18.5,択捉島南東沖,43°44.7′N,148°04.0′E,0 km,5.6,1
2018/12/24,23:51:14.4,苫小牧沖,41°48.9′N,141°29.1′E,127 km,4.2,2
2018/12/24,22:47:56.2,岩手県沖,40°25.3′N,141°58.3′E,20 km,3.4,1
2018/12/24,20:09:02.6,岩手県沖,39°03.0′N,142°15.3′E,63 km,3.3,1
2018/12/24,09:51:45.9,紀伊水道,34°07.2′N,135°07.1′E,4 km,2.7,2
2018/12/24,09:47:26.1,茨城県北部,36°47.8′N,140°31.8′E,11 km,3.2,2
2018/12/24,07:37:06.4,紀伊水道,34°07.1′N,135°07.1′E,4 km,2.6,2
2018/12/24,04:22:19.1,東海道南方沖,33°41.5′N,138°31.9′E,43 km,3.5,1
2018/12/23,18:04:16.2,宮城県沖,37°52.9′N,142°29.7′E,43 km,4.1,1
2018/12/23,11:50:17.5,長野県南部,35°48.6′N,138°06.4′E,7 km,3.3,2
2018/12/23,11:41:09.1,胆振地方中東部,42°37.4′N,141°57.6′E,31 km,3.5,2
2018/12/23,10:46:36.0,紀伊水道,34°07.6′N,135°06.5′E,8 km,2.5,1
2018/12/23,03:43:14.9,熊本県熊本地方,32°42.1′N,130°36.6′E,11 km,2.9,1
2018/12/21,13:13:31.8,福島県沖,37°03.9′N,141°08.1′E,50 km,4.0,2
2018/12/21,06:00:56.9,胆振地方中東部,42°41.3′N,141°58.2′E,32 km,3.5,3
2018/12/20,18:46:50.2,秋田県内陸南部,39°15.5′N,140°40.7′E,12 km,3.0,1
2018/12/20,18:12:06.5,茨城県南部,35°58.8′N,140°07.5′E,59 km,3.0,1
2018/12/20,15:58:27.0,富山県東部,36°29.9′N,137°29.6′E,6 km,4.3,3
2018/12/20,14:16:19.1,西表島付近,23°57.5′N,123°35.3′E,32 km,4.5,2
2018/12/20,02:16:55.1,茨城県沖,36°27.4′N,141°05.1′E,45 km,3.4,1
2018/12/20,01:26:13.8,父島近海,27°04.9′N,141°51.0′E,148 km,4.5,1
2018/12/19,23:36:37.3,徳島県北部,33°59.9′N,133°44.2′E,8 km,3.0,2
2018/12/19,19:25:16.2,大阪府北部,34°50.8′N,135°37.1′E,12 km,2.8,1
2018/12/19,19:01:20.3,新潟県中越地方,37°09.0′N,138°51.1′E,6 km,2.1,1
2018/12/19,09:03:15.1,徳島県北部,33°59.9′N,133°44.1′E,8 km,2.3,1
2018/12/19,04:23:44.6,熊本県熊本地方,32°42.3′N,130°36.6′E,11 km,2.6,1
2018/12/19,00:18:46.6,宮城県沖,38°14.5′N,141°43.7′E,49 km,3.9,2
2018/12/18,21:06:14.7,種子島近海,29°48.1′N,130°45.2′E,58 km,4.5,1
2018/12/18,06:29:31.0,千葉県北西部,35°41.4′N,140°06.9′E,66 km,3.3,1
2018/12/17,23:07:53.8,奄美大島近海,28°46.1′N,129°19.5′E,73 km,3.9,1
2018/12/17,18:46:40.4,青森県東方沖,41°25.1′N,141°44.9′E,69 km,3.3,1
2018/12/17,18:46:32.7,栃木県北部,37°02.7′N,139°50.3′E,12 km,2.9,1
2018/12/17,17:16:41.9,五島列島近海,32°52.2′N,128°59.3′E,7 km,2.3,1
2018/12/17,05:18:09.2,茨城県南部,36°02.2′N,139°52.9′E,42 km,3.1,1
2018/12/17,02:58:30.4,長野県北部,36°55.4′N,138°27.1′E,5 km,1.9,2
2018/12/16,23:45:03.8,熊本県天草・芦北地方,32°27.0′N,130°32.7′E,9 km,3.2,1
2018/12/16,06:49:27.5,茨城県南部,36°00.6′N,139°53.9′E,42 km,3.1,1
2018/12/16,06:21:05.0,台湾付近,23°43.6′N,121°55.2′E,31 km,5.4,1
2018/12/16,01:28:18.4,岩手県沿岸南部,39°15.8′N,141°43.1′E,62 km,4.6,3
2018/12/15,22:14:46.4,秋田県内陸南部,39°29.3′N,140°25.4′E,10 km,3.0,3
2018/12/15,11:07:52.8,沖縄本島近海,26°17.1′N,127°47.6′E,19 km,2.9,1
2018/12/15,01:02:11.7,小笠原諸島西方沖,26°32.1′N,140°42.4′E,466 km,5.3,1
2018/12/14,17:53:17.7,千葉県南東沖,34°52.8′N,139°56.2′E,52 km,3.5,1
2018/12/14,17:04:33.6,宮城県沖,37°51.6′N,142°29.0′E,44 km,4.8,3
2018/12/14,09:27:26.3,宮城県沖,38°54.1′N,142°06.2′E,44 km,3.5,1
2018/12/14,04:15:52.7,大阪府北部,34°48.9′N,135°37.9′E,11 km,3.3,2
2018/12/13,16:21:27.7,熊本県熊本地方,32°47.9′N,130°49.6′E,6 km,2.3,1
2018/12/13,04:54:53.2,岐阜県飛騨地方,36°00.7′N,137°24.7′E,8 km,3.1,2
2018/12/13,04:53:28.7,岐阜県飛騨地方,36°00.7′N,137°24.7′E,8 km,2.5,2
2018/12/13,02:48:44.5,宮古島近海,24°41.0′N,124°50.3′E,19 km,3.3,1
2018/12/12,17:49:56.1,茨城県北部,36°26.8′N,140°34.7′E,56 km,4.3,3
2018/12/12,08:49:55.7,茨城県北部,36°40.2′N,140°39.2′E,8 km,2.3,1
2018/12/12,01:25:17.7,宮崎県南部山沿い,32°03.3′N,130°49.3′E,7 km,2.3,1
2018/12/11,20:18:45.7,茨城県沖,36°46.5′N,141°21.7′E,41 km,3.5,1
2018/12/11,10:17:23.6,茨城県沖,36°22.0′N,140°58.2′E,46 km,3.9,2
2018/12/11,09:26:43.3,国後島付近,43°39.7′N,146°21.6′E,106 km,4.7,2
2018/12/11,01:53:54.3,宮崎県南部山沿い,32°03.3′N,130°49.3′E,7 km,2.9,1
2018/12/11,01:24:49.4,宮崎県南部山沿い,32°03.4′N,130°49.4′E,7 km,2.3,1
2018/12/11,01:05:17.4,宮崎県南部山沿い,32°03.6′N,130°49.4′E,6 km,3.4,3
2018/12/10,22:16:16.8,熊本県熊本地方,32°45.7′N,130°41.5′E,13 km,2.5,1
2018/12/10,20:27:57.2,長野県中部,36°24.1′N,137°58.4′E,10 km,3.0,2
2018/12/10,13:38:14.4,山形県置賜地方,38°06.6′N,139°55.8′E,8 km,2.7,1
2018/12/10,11:28:51.5,宮崎県南部山沿い,32°03.4′N,130°49.3′E,7 km,2.8,1
2018/12/10,00:21:40.2,東海道南方沖,33°14.4′N,138°05.5′E,367 km,5.2,2
2018/12/09,20:32:19.5,八丈島近海,33°04.2′N,139°50.3′E,2 km,2.3,1
2018/12/09,18:23:33.0,福岡県北西沖,33°42.6′N,130°14.9′E,9 km,3.2,1
2018/12/09,17:02:52.8,茨城県南部,36°01.7′N,139°55.7′E,41 km,3.2,1
2018/12/09,02:55:45.5,千葉県北東部,35°45.1′N,140°40.3′E,49 km,3.0,1
2018/12/09,00:36:53.2,胆振地方中東部,42°43.1′N,141°54.7′E,29 km,4.0,3
2018/12/08,22:42:37.7,宮崎県南部山沿い,32°03.4′N,130°49.3′E,7 km,2.7,1
2018/12/08,16:25:15.5,青森県津軽南部,40°40.1′N,140°28.2′E,9 km,2.4,1
2018/12/08,11:10:48.9,福島県沖,37°02.2′N,141°18.8′E,48 km,3.3,1
2018/12/08,10:54:02.5,福島県沖,37°01.8′N,141°20.6′E,50 km,5.0,4
2018/12/08,09:25:59.4,日向灘,32°44.6′N,132°28.9′E,30 km,3.2,1
2018/12/08,09:13:58.6,日向灘,32°44.5′N,132°28.8′E,30 km,2.9,1
2018/12/08,08:33:07.7,日向灘,32°44.3′N,132°28.8′E,31 km,3.9,2
2018/12/08,08:13:39.9,茨城県沖,36°19.3′N,141°47.1′E,57 km,4.8,1
2018/12/07,20:31:25.8,和歌山県南部,33°47.5′N,135°42.5′E,22 km,3.0,1
2018/12/07,18:28:44.2,新潟県上越地方,37°10.3′N,138°27.9′E,12 km,2.1,1
2018/12/07,14:10:48.0,大阪府北部,34°49.6′N,135°37.6′E,10 km,2.4,1
2018/12/07,05:11:03.7,奈良県,34°14.2′N,135°53.0′E,52 km,2.9,1
2018/12/06,22:33:12.3,宮城県沖,38°52.9′N,142°01.8′E,55 km,3.6,1
2018/12/06,04:48:07.8,東海道南方沖,33°44.2′N,138°32.0′E,41 km,4.2,1
2018/12/06,01:58:22.8,栃木県北部,36°56.5′N,139°40.5′E,6 km,2.5,1
2018/12/06,00:04:55.3,熊本県熊本地方,33°04.9′N,130°33.2′E,14 km,3.3,2
2018/12/05,22:25:34.7,茨城県沖,36°44.1′N,140°55.1′E,86 km,3.6,1
2018/12/05,21:09:02.8,茨城県沖,36°20.5′N,141°42.0′E,63 km,4.6,1
2018/12/05,21:00:23.0,青森県東方沖,40°43.8′N,141°49.7′E,68 km,3.8,1
2018/12/05,04:35:21.9,和歌山県北部,34°15.1′N,135°24.9′E,7 km,2.5,1
2018/12/05,02:10:49.9,宮城県沖,38°02.1′N,142°12.4′E,38 km,4.1,1
2018/12/04,22:49:52.1,長野県中部,36°13.2′N,137°36.3′E,5 km,2.7,1
2018/12/04,15:06:13.7,房総半島南方沖,34°32.6′N,140°03.7′E,44 km,4.5,2
2018/12/04,07:07:19.8,紀伊水道,33°40.9′N,135°11.8′E,41 km,3.0,1
