date,time,place,latitude,longitude,depth,magnitude,sindo
2023/12/31,23:37:38.2,奄美大島近海,28°11.7′N,130°46.6′E,75 km,4.4,1
2023/12/31,07:39:15.5,岩手県沖,39°51.9′N,142°17.8′E,31 km,4.0,2
2023/12/30,15:07:30.2,日高地方西部,42°48.6′N,142°31.8′E,35 km,4.1,1
2023/12/30,11:21:30.8,トカラ列島近海,29°57.5′N,129°58.7′E,1 km,2.6,1
2023/12/30,08:45:43.9,秋田県沿岸北部,39°53.6′N,139°45.6′E,9 km,3.1,1
2023/12/29,22:34:14.8,沖縄本島近海,26°17.5′N,127°48.9′E,21 km,3.2,1
2023/12/29,00:47:01.1,徳島県南部,33°44.3′N,134°08.2′E,20 km,3.6,1
2023/12/29,00:13:24.3,富山湾,37°24.2′N,137°19.9′E,6 km,2.6,1
2023/12/28,23:49:23.2,奄美大島近海,27°59.3′N,128°52.0′E,45 km,4.1,2
2023/12/28,22:16:53.7,青森県東方沖,40°34.8′N,142°29.4′E,43 km,4.5,2
2023/12/28,18:15:13.2,択捉島南東沖,44°36.1′N,149°09.2′E,30 km,6.6,3
2023/12/28,18:03:40.4,岐阜県美濃中西部,35°24.3′N,136°32.0′E,41 km,2.5,1
2023/12/28,17:56:36.8,岩手県沖,39°13.2′N,142°10.7′E,51 km,3.8,1
2023/12/28,16:10:42.5,茨城県沖,36°23.4′N,141°03.6′E,41 km,3.5,1
2023/12/28,03:45:17.7,沖縄本島近海,26°10.2′N,127°59.8′E,17 km,2.8,1
2023/12/28,01:07:40.9,トカラ列島近海,29°48.9′N,129°54.5′E,6 km,1.9,1
2023/12/27,22:47:48.6,石川県能登地方,37°29.6′N,137°16.9′E,12 km,2.7,1
2023/12/27,16:08:21.9,福島県沖,37°03.3′N,141°01.9′E,32 km,3.8,2
2023/12/27,14:40:20.7,トカラ列島近海,29°09.3′N,129°07.4′E,7 km,2.6,1
2023/12/27,14:07:28.2,薩摩半島西方沖,31°27.1′N,130°06.9′E,4 km,2.9,1
2023/12/27,13:07:26.0,トカラ列島近海,29°08.0′N,129°09.0′E,8 km,2.3,1
2023/12/27,07:53:57.0,浦河沖,41°55.2′N,142°19.4′E,70 km,4.6,3
2023/12/27,05:17:09.6,薩摩半島西方沖,31°27.1′N,130°06.9′E,4 km,3.0,1
2023/12/27,02:07:48.3,トカラ列島近海,29°08.3′N,129°10.8′E,10 km,2.4,1
2023/12/27,02:00:17.8,トカラ列島近海,29°09.1′N,129°06.5′E,8 km,3.6,3
2023/12/27,00:16:31.5,トカラ列島近海,29°09.6′N,129°06.1′E,6 km,2.6,1
2023/12/27,00:07:12.6,トカラ列島近海,29°09.1′N,129°06.2′E,5 km,2.6,1
2023/12/27,00:02:37.1,トカラ列島近海,29°10.7′N,129°08.9′E,8 km,2.9,1
2023/12/26,23:26:42.4,トカラ列島近海,29°08.8′N,129°07.5′E,6 km,2.8,1
2023/12/26,23:02:14.8,トカラ列島近海,29°09.5′N,129°07.1′E,7 km,2.8,2
2023/12/26,22:41:16.2,トカラ列島近海,29°09.4′N,129°06.9′E,6 km,2.5,1
2023/12/26,22:28:00.9,トカラ列島近海,29°09.7′N,129°06.9′E,6 km,2.6,2
2023/12/26,21:49:07.2,トカラ列島近海,29°09.2′N,129°07.3′E,8 km,2.8,1
2023/12/26,21:21:12.1,トカラ列島近海,29°09.1′N,129°06.2′E,7 km,2.7,1
2023/12/26,21:13:36.8,トカラ列島近海,29°10.9′N,129°10.4′E,12 km,3.5,2
2023/12/26,15:42:33.0,岐阜県飛騨地方,36°00.8′N,137°31.5′E,9 km,2.8,1
2023/12/26,15:30:55.0,鳥島近海,30°24.6′N,138°56.6′E,455 km,5.2,1
2023/12/26,13:29:38.7,安芸灘,33°51.1′N,132°27.8′E,47 km,3.2,1
2023/12/26,04:09:35.3,三重県北部,35°02.9′N,136°31.4′E,12 km,2.9,1
2023/12/25,13:49:00.7,三重県南東沖,33°11.1′N,137°57.5′E,340 km,4.8,1
2023/12/25,11:58:45.5,トカラ列島近海,29°57.2′N,130°01.0′E,6 km,2.0,1
2023/12/25,09:11:35.1,茨城県沖,36°22.3′N,141°00.5′E,43 km,3.3,1
2023/12/25,04:42:16.5,兵庫県南東部,35°04.7′N,135°17.5′E,7 km,4.0,3
2023/12/25,03:31:18.3,福島県沖,37°50.9′N,141°36.1′E,50 km,3.7,1
2023/12/24,20:55:30.4,十勝地方中部,42°52.3′N,143°08.6′E,106 km,3.7,1
2023/12/24,20:11:05.0,熊本県天草・芦北地方,32°31.6′N,130°33.5′E,14 km,2.9,1
2023/12/24,18:58:59.5,天草灘,32°30.0′N,129°44.3′E,12 km,3.5,2
2023/12/24,13:59:49.4,伊豆大島近海,35°01.3′N,139°37.9′E,36 km,2.6,1
2023/12/24,08:07:31.0,能登半島沖,37°36.3′N,137°19.7′E,11 km,3.8,1
2023/12/24,06:04:02.7,根室半島南東沖,43°02.8′N,145°49.8′E,39 km,3.6,1
2023/12/23,19:11:19.4,茨城県北部,36°30.5′N,140°34.8′E,59 km,3.2,1
2023/12/23,14:49:37.2,橘湾,32°39.3′N,130°04.8′E,13 km,2.1,1
2023/12/23,13:37:38.3,橘湾,32°39.3′N,130°04.7′E,13 km,2.7,2
2023/12/22,18:37:46.1,トカラ列島近海,29°13.7′N,129°17.4′E,11 km,2.6,1
2023/12/22,18:30:52.7,浦河沖,42°02.3′N,142°35.6′E,63 km,4.0,1
2023/12/22,10:46:55.2,岩手県沖,39°58.2′N,142°23.1′E,6 km,4.0,1
2023/12/22,10:45:55.8,岩手県沖,39°58.6′N,142°21.5′E,14 km,4.9,3
2023/12/22,06:06:21.3,薩摩半島西方沖,31°53.8′N,128°18.4′E,14 km,3.5,1
