date,time,place,latitude,longitude,depth,magnitude,sindo
2017/12/31,22:40:06.9,秋田県内陸南部,39°31.3′N,140°25.7′E,9 km,2.9,2
2017/12/31,21:24:09.7,宮古島近海,24°17.9′N,125°10.5′E,34 km,4.3,1
2017/12/31,21:01:12.7,沖縄本島近海,26°31.2′N,126°58.9′E,15 km,3.0,1
2017/12/31,20:21:30.0,福島県会津,37°12.7′N,139°54.4′E,7 km,2.7,1
2017/12/31,12:48:59.0,トカラ列島近海,29°36.8′N,129°31.8′E,165 km,4.9,2
2017/12/31,07:26:15.6,宮古島近海,24°54.6′N,125°38.3′E,49 km,3.7,1
2017/12/31,07:11:40.3,豊後水道,33°19.8′N,132°11.8′E,52 km,3.9,2
2017/12/31,06:57:27.9,伊予灘,33°32.7′N,132°21.6′E,46 km,3.4,1
2017/12/30,23:34:40.9,釧路地方中南部,43°13.0′N,145°11.4′E,87 km,4.0,2
2017/12/30,05:45:39.7,岐阜県飛騨地方,36°02.9′N,137°19.8′E,10 km,2.7,1
2017/12/29,20:07:46.5,千葉県北東部,35°44.3′N,140°51.6′E,10 km,2.7,1
2017/12/29,14:07:04.0,択捉島南東沖,44°19.9′N,147°41.3′E,136 km,4.5,1
2017/12/29,11:54:17.9,山梨県中・西部,35°48.4′N,138°44.8′E,10 km,3.3,1
2017/12/29,07:48:00.0,千葉県北東部,35°44.3′N,140°50.9′E,10 km,3.5,2
2017/12/29,06:14:53.9,十勝沖,41°43.9′N,143°40.4′E,41 km,4.8,2
2017/12/28,22:43:28.0,熊本県熊本地方,32°45.5′N,130°46.9′E,15 km,2.9,1
2017/12/28,16:52:19.4,日高地方西部,42°30.4′N,142°05.3′E,11 km,2.7,1
2017/12/27,22:05:29.4,東京湾,35°33.9′N,140°05.0′E,69 km,4.5,3
2017/12/27,20:52:52.2,新島・神津島近海,34°18.3′N,139°13.5′E,11 km,2.3,1
2017/12/27,00:42:33.5,福島県会津,37°42.0′N,140°00.0′E,8 km,2.7,1
2017/12/26,21:41:04.9,奄美大島近海,28°06.9′N,129°33.3′E,33 km,2.9,1
2017/12/26,20:16:48.1,根室半島南東沖,43°33.0′N,146°17.0′E,72 km,4.0,1
2017/12/26,11:31:53.8,徳島県北部,34°03.8′N,134°15.2′E,39 km,2.7,1
2017/12/26,07:23:34.9,福島県沖,37°19.5′N,142°12.2′E,31 km,4.4,1
2017/12/25,08:49:19.5,和歌山県北部,34°12.1′N,135°10.0′E,6 km,3.0,2
2017/12/24,22:19:23.1,沖縄本島近海,26°31.3′N,127°45.3′E,21 km,2.6,1
2017/12/24,19:20:39.3,熊本県熊本地方,32°47.4′N,130°47.6′E,10 km,2.5,1
2017/12/24,15:32:01.2,根室半島南東沖,43°19.6′N,146°05.1′E,88 km,3.8,1
2017/12/24,10:37:39.4,浦河沖,42°02.5′N,142°35.8′E,62 km,3.5,1
