date,time,place,latitude,longitude,depth,magnitude,sindo
2013/12/31,18:20:25.9,沖縄本島近海,26°31.2′N,128°18.5′E,33 km,3.0,1
2013/12/31,17:18:17.7,茨城県北部,36°40.2′N,140°37.1′E,7 km,3.3,2
2013/12/31,15:17:53.2,茨城県北部,36°41.8′N,140°37.2′E,7 km,2.5,1
2013/12/31,13:23:40.8,茨城県北部,36°43.5′N,140°38.9′E,6 km,2.5,1
2013/12/31,11:55:38.0,駿河湾,34°43.6′N,138°31.9′E,21 km,2.9,1
2013/12/31,11:37:51.4,茨城県北部,36°41.2′N,140°37.5′E,6 km,3.0,2
2013/12/31,10:58:48.3,茨城県北部,36°42.3′N,140°35.5′E,8 km,3.1,2
2013/12/31,10:23:01.6,茨城県北部,36°43.0′N,140°37.5′E,6 km,2.5,1
2013/12/31,10:22:38.4,茨城県北部,36°41.9′N,140°36.2′E,7 km,2.9,1
2013/12/31,10:11:38.1,茨城県北部,36°40.9′N,140°38.1′E,7 km,3.6,2
2013/12/31,10:09:50.8,茨城県北部,36°42.2′N,140°36.6′E,7 km,3.6,2
2013/12/31,10:08:42.1,茨城県北部,36°42.1′N,140°37.8′E,7 km,3.4,2
2013/12/31,10:06:24.0,茨城県北部,36°41.4′N,140°37.5′E,5 km,2.8,1
2013/12/31,10:05:46.0,茨城県北部,36°42.6′N,140°35.3′E,7 km,3.0,1
2013/12/31,10:03:00.1,茨城県北部,36°41.4′N,140°37.7′E,7 km,5.4,5-
2013/12/31,07:38:55.9,宮城県沖,38°46.7′N,142°15.8′E,39 km,3.4,1
2013/12/30,21:55:58.8,伊豆大島近海,34°43.5′N,139°25.3′E,0 km,2.1,1
2013/12/30,20:15:25.6,千葉県北西部,35°22.3′N,140°11.9′E,61 km,3.4,2
2013/12/30,18:44:15.3,茨城県沖,36°16.9′N,141°25.4′E,48 km,4.6,1
2013/12/30,16:33:42.0,山口県西部,34°00.9′N,131°08.1′E,11 km,3.0,1
2013/12/30,14:43:04.9,相模湾,35°15.8′N,139°26.3′E,43 km,3.0,1
2013/12/29,23:29:14.4,釧路沖,43°03.7′N,145°27.6′E,92 km,3.3,1
2013/12/29,10:22:16.5,宮城県沖,38°06.7′N,141°44.2′E,56 km,4.4,3
2013/12/29,10:17:45.4,八丈島近海,33°15.1′N,139°28.2′E,14 km,4.8,3
2013/12/29,05:15:08.0,福島県浜通り,37°05.0′N,140°46.5′E,8 km,2.0,1
2013/12/29,04:18:00.3,茨城県南部,36°07.4′N,139°49.6′E,50 km,3.3,1
2013/12/28,21:43:05.9,茨城県北部,36°40.5′N,140°39.4′E,10 km,3.4,2
2013/12/28,21:27:04.4,福島県沖,37°17.2′N,141°41.1′E,43 km,4.2,2
2013/12/28,08:42:36.1,茨城県北部,36°40.7′N,140°39.0′E,9 km,2.2,1
2013/12/28,07:24:40.8,栃木県北部,36°51.9′N,139°27.3′E,5 km,2.8,1
2013/12/27,19:31:18.1,岩手県沖,40°12.7′N,142°19.6′E,38 km,5.0,3
2013/12/27,10:32:34.6,茨城県南部,36°03.3′N,140°02.1′E,64 km,3.7,2
2013/12/27,08:52:22.8,秋田県内陸北部,40°01.5′N,140°27.9′E,7 km,2.9,1
2013/12/27,07:35:37.9,北海道東方沖,43°22.9′N,146°44.3′E,44 km,3.8,2
2013/12/26,14:33:46.1,硫黄島近海,25°30.0′N,141°06.0′E,100 km,4.6,1
2013/12/26,12:34:15.1,和歌山県北部,34°02.0′N,135°11.6′E,6 km,2.6,1
2013/12/26,06:47:38.9,釧路沖,42°51.6′N,145°16.1′E,56 km,3.7,1
2013/12/26,03:43:22.1,青森県東方沖,41°02.2′N,142°02.5′E,56 km,4.1,3
2013/12/25,20:01:48.3,神奈川県西部,35°21.2′N,139°03.1′E,8 km,2.2,1
2013/12/25,19:16:31.5,広島県北部,34°40.6′N,132°17.9′E,22 km,3.0,1
2013/12/25,16:01:25.8,広島県北部,34°40.6′N,132°17.9′E,22 km,3.6,2
2013/12/25,15:00:29.7,茨城県南部,36°16.7′N,140°03.7′E,56 km,3.1,1
2013/12/25,14:04:05.4,沖縄本島近海,26°47.3′N,128°25.1′E,31 km,3.2,1
2013/12/25,07:41:58.2,福島県沖,36°52.1′N,141°10.5′E,49 km,4.2,2
2013/12/25,03:57:55.9,京都府南部,35°03.7′N,135°49.4′E,12 km,2.8,1
2013/12/25,02:12:41.6,北海道南西沖,42°29.3′N,139°16.9′E,26 km,4.4,3
2013/12/24,12:03:26.0,天草灘,32°27.9′N,129°50.0′E,13 km,3.3,1
2013/12/24,06:10:36.9,岩手県沖,39°48.4′N,142°04.2′E,16 km,3.4,1
2013/12/23,18:25:09.9,関東東方沖,35°34.8′N,142°16.4′E,62 km,5.7,1
2013/12/23,15:57:28.6,関東東方沖,35°37.6′N,142°11.7′E,42 km,5.9,1
2013/12/23,02:19:29.9,秋田県内陸北部,40°02.3′N,140°31.9′E,9 km,2.5,1
2013/12/22,13:17:03.8,東京湾,35°36.2′N,140°03.7′E,8 km,1.9,1
2013/12/22,09:40:50.2,山形県置賜地方,37°47.8′N,140°00.0′E,8 km,3.1,1
2013/12/22,09:22:44.9,千葉県東方沖,35°39.1′N,140°41.2′E,46 km,3.4,1
2013/12/22,02:28:37.8,福島県中通り,37°16.8′N,140°01.7′E,6 km,1.5,1
2013/12/22,00:17:32.8,福島県沖,37°31.4′N,141°22.8′E,50 km,3.4,1
2013/12/21,23:45:20.0,日高地方西部,42°45.0′N,142°28.9′E,20 km,3.8,2
2013/12/21,22:54:12.9,宮城県沖,37°50.0′N,142°30.9′E,40 km,4.0,1
2013/12/21,16:19:06.0,胆振地方中東部,42°37.7′N,141°16.4′E,6 km,3.6,2
