date,time,place,latitude,longitude,depth,magnitude,sindo
2014/12/31,23:49:46.7,埼玉県南部,35°47.1′N,139°53.2′E,84 km,4.2,2
2014/12/31,23:23:26.7,茨城県沖,36°35.0′N,140°58.1′E,23 km,4.3,2
2014/12/31,23:02:21.9,茨城県沖,36°35.2′N,140°58.2′E,23 km,3.8,2
2014/12/31,17:17:05.1,根室半島南東沖,42°53.5′N,146°22.7′E,43 km,4.3,1
2014/12/31,16:54:36.5,与那国島近海,24°31.0′N,122°32.3′E,98 km,4.7,1
2014/12/31,15:16:50.4,浦河沖,42°14.1′N,142°32.2′E,78 km,3.4,1
2014/12/31,11:07:03.5,茨城県沖,35°53.1′N,140°50.7′E,42 km,3.5,1
2014/12/30,20:19:14.0,宮城県沖,38°51.2′N,142°03.1′E,46 km,3.9,2
2014/12/30,19:23:08.8,岩手県内陸南部,39°04.2′N,140°53.3′E,9 km,4.2,3
2014/12/30,08:53:51.0,宮城県沖,38°32.4′N,142°05.8′E,50 km,3.5,1
2014/12/29,19:57:34.0,栃木県北部,36°51.7′N,139°31.1′E,6 km,3.0,2
2014/12/29,19:12:07.6,長野県北部,36°35.9′N,137°50.2′E,3 km,2.6,1
2014/12/29,18:34:06.9,伊予灘,33°46.2′N,132°36.1′E,44 km,3.7,1
2014/12/29,16:11:34.9,広島県北部,35°02.7′N,132°55.6′E,6 km,2.0,1
2014/12/29,09:14:39.3,岩手県沖,40°20.9′N,142°11.0′E,45 km,3.6,1
2014/12/29,05:40:39.7,岩手県内陸北部,39°44.3′N,140°48.8′E,9 km,3.1,1
2014/12/28,22:11:49.4,茨城県沖,35°56.2′N,140°51.0′E,19 km,3.1,1
2014/12/28,22:03:21.8,鹿児島県薩摩地方,31°50.9′N,130°43.9′E,9 km,2.2,1
2014/12/28,20:49:47.4,三陸沖,38°27.9′N,144°13.7′E,47 km,4.9,1
2014/12/28,18:00:55.5,浦河沖,42°00.9′N,142°35.6′E,60 km,4.3,2
2014/12/28,16:28:13.4,岩手県沖,39°53.0′N,142°15.9′E,20 km,3.6,1
2014/12/28,15:34:20.3,岐阜県美濃中西部,35°46.6′N,137°06.8′E,11 km,2.3,1
2014/12/28,14:58:35.6,石狩地方中部,43°04.9′N,141°23.3′E,10 km,1.8,1
2014/12/28,06:56:56.3,宮城県沖,38°26.7′N,141°48.5′E,54 km,3.7,1
2014/12/28,03:19:03.5,福島県沖,37°36.6′N,141°44.8′E,46 km,4.3,2
2014/12/27,19:27:21.7,長野県北部,36°42.2′N,138°19.2′E,6 km,1.2,1
2014/12/27,06:04:40.5,宮城県沖,38°18.4′N,141°50.2′E,63 km,4.3,3
2014/12/26,22:30:34.8,滋賀県北部,35°17.1′N,135°53.7′E,14 km,4.2,4
2014/12/26,20:35:37.6,岐阜県美濃中西部,35°44.8′N,136°51.4′E,9 km,3.2,1
2014/12/26,19:19:12.1,福島県浜通り,37°03.2′N,140°45.2′E,16 km,2.9,1
2014/12/26,10:37:03.7,新潟県中越地方,37°10.0′N,138°53.6′E,14 km,3.4,1
2014/12/26,07:09:09.0,和歌山県北部,34°05.8′N,135°06.3′E,8 km,2.8,1
2014/12/26,00:48:28.4,新潟県中越地方,37°01.0′N,138°37.4′E,10 km,2.6,1
2014/12/25,20:32:00.0,茨城県南部,36°04.5′N,139°54.9′E,45 km,4.0,3
