date,time,place,latitude,longitude,depth,magnitude,sindo
2019/12/31,10:47:25.1,静岡県伊豆地方,34°59.5′N,139°01.1′E,4 km,1.7,1
2019/12/31,02:14:32.9,岩手県沖,39°38.2′N,142°06.4′E,48 km,3.4,1
2019/12/30,19:27:07.6,茨城県沖,36°47.9′N,141°20.7′E,34 km,3.7,1
2019/12/30,13:32:29.2,宮城県沖,38°28.5′N,142°06.5′E,41 km,4.0,1
2019/12/30,13:11:11.8,父島近海,27°50.6′N,142°31.3′E,73 km,5.1,1
2019/12/29,09:52:08.8,岩手県沖,40°09.1′N,142°25.7′E,35 km,3.9,1
2019/12/29,08:11:32.9,西表島付近,24°08.1′N,123°48.6′E,18 km,3.3,1
2019/12/29,06:59:44.6,天草灘,32°08.3′N,130°03.3′E,8 km,2.7,1
2019/12/29,00:56:41.8,奄美大島近海,28°17.1′N,129°36.0′E,32 km,4.0,2
2019/12/28,21:24:43.3,福島県沖,37°37.0′N,141°51.2′E,37 km,3.8,1
2019/12/28,08:41:52.3,西表島付近,24°08.1′N,123°49.0′E,18 km,4.6,2
2019/12/28,05:31:07.5,トカラ列島近海,29°36.2′N,129°41.8′E,6 km,2.0,1
2019/12/27,22:01:12.1,天草灘,32°08.1′N,130°03.2′E,9 km,3.0,1
2019/12/27,14:10:01.0,三陸沖,37°56.2′N,142°45.8′E,29 km,4.8,2
2019/12/27,12:34:23.5,瀬戸内海中部,34°02.8′N,133°03.9′E,15 km,2.8,1
2019/12/27,11:26:25.0,沖縄本島近海,26°12.8′N,128°25.5′E,19 km,3.7,1
2019/12/27,06:46:19.6,天草灘,32°08.4′N,130°03.5′E,8 km,2.6,1
2019/12/27,04:44:31.7,栃木県北部,36°39.1′N,139°27.6′E,4 km,2.2,1
2019/12/27,03:09:07.5,天草灘,32°08.3′N,130°03.4′E,9 km,3.3,2
2019/12/26,21:26:18.5,熊本県熊本地方,32°52.1′N,130°39.6′E,8 km,2.1,1
2019/12/26,19:59:33.8,天草灘,32°08.3′N,130°03.5′E,8 km,3.0,2
2019/12/26,19:53:56.2,天草灘,32°08.2′N,130°03.2′E,8 km,3.8,3
2019/12/26,18:26:38.5,宮城県沖,38°31.7′N,141°48.9′E,49 km,4.7,3
2019/12/26,17:18:58.1,岩手県沖,39°59.4′N,141°59.9′E,70 km,3.4,1
2019/12/26,09:08:44.7,秋田県内陸北部,40°01.0′N,140°27.0′E,6 km,3.1,1
2019/12/26,03:38:22.7,網走地方,43°30.5′N,144°00.7′E,1 km,2.6,1
2019/12/25,04:53:59.9,瀬戸内海中部,34°02.9′N,133°04.3′E,15 km,2.8,1
2019/12/25,04:50:21.6,トカラ列島近海,29°32.4′N,129°43.9′E,8 km,1.8,1
2019/12/24,23:36:54.3,根室半島南東沖,43°29.8′N,146°09.9′E,93 km,4.8,3
2019/12/24,19:43:59.8,和歌山県北部,34°12.6′N,135°13.8′E,4 km,2.1,1
2019/12/24,10:58:32.0,栃木県北部,36°45.4′N,139°26.5′E,4 km,2.4,1
