date,time,place,latitude,longitude,depth,magnitude,sindo
2012/12/31,23:04:42.9,千葉県東方沖,35°41.2′N,140°47.8′E,17 km,3.0,1
2012/12/31,11:40:53.0,長野県北部,36°48.9′N,138°28.6′E,1 km,2.2,1
2012/12/31,07:17:25.1,宮城県沖,38°19.4′N,141°55.0′E,50 km,3.7,2
2012/12/31,04:23:07.9,沖縄本島近海,26°00.8′N,127°13.3′E,43 km,3.8,1
2012/12/31,02:59:00.6,宮城県沖,38°51.3′N,142°03.0′E,46 km,3.9,2
2012/12/30,11:33:09.2,茨城県沖,36°45.3′N,141°17.9′E,76 km,3.8,1
2012/12/30,08:05:19.5,福島県沖,36°57.7′N,141°23.5′E,35 km,5.1,3
2012/12/30,05:54:47.2,岩手県沿岸北部,40°08.0′N,141°47.5′E,6 km,2.9,2
2012/12/30,00:54:36.0,秋田県内陸南部,39°34.9′N,140°32.5′E,6 km,2.1,1
2012/12/30,00:52:08.9,宮城県沖,38°11.3′N,141°40.6′E,50 km,3.2,1
2012/12/29,23:59:36.6,宮城県沖,38°43.0′N,142°11.7′E,41 km,5.5,4
2012/12/29,16:19:32.5,福島県沖,37°04.0′N,141°10.9′E,51 km,5.0,4
2012/12/29,14:18:51.2,豊後水道,33°05.3′N,132°23.2′E,41 km,3.4,2
2012/12/29,12:05:41.1,宮城県沖,38°14.5′N,141°51.2′E,62 km,3.9,2
2012/12/29,06:17:47.8,福島県会津,37°05.3′N,139°18.0′E,7 km,1.9,1
2012/12/29,05:28:00.4,栃木県北部,36°37.7′N,139°25.7′E,9 km,3.1,2
2012/12/28,22:35:36.2,青森県三八上北地方,40°33.9′N,141°24.2′E,91 km,3.0,1
2012/12/28,21:53:13.5,宮城県沖,38°52.7′N,142°04.6′E,46 km,3.3,1
2012/12/28,20:31:32.0,福島県会津,37°43.7′N,140°00.8′E,8 km,3.3,1
2012/12/28,16:30:00.6,茨城県北部,36°27.2′N,140°36.2′E,56 km,4.0,3
2012/12/27,19:49:18.8,和歌山県北部,34°15.1′N,135°25.4′E,7 km,2.4,1
2012/12/27,18:03:25.2,茨城県北部,36°51.7′N,140°39.2′E,9 km,3.1,1
2012/12/27,15:45:17.0,新島・神津島近海,34°20.8′N,139°14.0′E,2 km,1.9,1
2012/12/27,15:27:54.7,新島・神津島近海,34°20.9′N,139°14.3′E,3 km,1.8,1
2012/12/27,15:25:36.4,新島・神津島近海,34°20.7′N,139°14.8′E,3 km,1.9,1
2012/12/27,06:17:28.6,千葉県東方沖,35°51.4′N,140°54.3′E,34 km,3.6,2
2012/12/27,05:07:49.1,宮城県沖,38°38.1′N,141°54.3′E,48 km,3.6,1
2012/12/27,04:01:00.3,福島県沖,37°31.1′N,141°27.5′E,49 km,3.5,1
2012/12/26,20:44:41.3,長野県北部,36°48.8′N,138°41.8′E,5 km,3.8,2
2012/12/26,16:20:52.7,千葉県東方沖,35°47.2′N,140°55.6′E,14 km,3.6,1
2012/12/26,12:09:42.2,福島県浜通り,37°05.3′N,140°51.3′E,10 km,2.5,1
2012/12/26,11:30:50.3,宮城県沖,38°42.0′N,141°59.9′E,52 km,3.5,1
2012/12/26,04:59:05.6,岩手県沖,40°04.6′N,142°00.9′E,65 km,4.1,3
2012/12/26,03:44:39.3,岐阜県美濃中西部,35°45.9′N,136°56.2′E,13 km,3.1,1
2012/12/26,02:08:13.7,東海道南方沖,32°05.3′N,138°12.0′E,397 km,5.1,1
2012/12/26,00:58:54.5,空知地方中部,43°40.0′N,141°40.9′E,7 km,2.2,1
2012/12/25,21:25:58.3,奄美大島北東沖,29°20.2′N,129°55.7′E,59 km,4.0,1
2012/12/25,17:23:38.8,福島県沖,37°05.8′N,141°17.3′E,54 km,3.4,1
2012/12/25,11:33:04.6,紀伊水道,34°09.2′N,135°10.2′E,7 km,2.5,1
2012/12/25,06:54:48.5,福島県沖,36°54.8′N,141°24.9′E,31 km,4.2,1
2012/12/25,04:47:54.0,トカラ列島近海,29°49.3′N,129°47.1′E,11 km,2.3,1
2012/12/25,04:21:35.1,徳島県南部,33°55.3′N,134°26.9′E,40 km,2.9,1
2012/12/24,20:26:10.9,長野県北部,36°50.7′N,138°34.2′E,3 km,3.3,2
2012/12/24,19:49:53.5,四国沖,33°27.0′N,134°20.4′E,30 km,3.4,1
2012/12/24,17:42:20.6,長野県南部,35°51.8′N,137°38.8′E,8 km,2.8,1
2012/12/24,16:20:03.1,徳島県北部,34°00.9′N,134°22.3′E,5 km,2.2,1
2012/12/24,12:13:33.1,茨城県南部,35°59.4′N,140°05.3′E,62 km,3.3,1
2012/12/24,06:51:58.5,宮古島近海,24°49.5′N,125°22.2′E,49 km,3.6,1
2012/12/24,04:34:08.3,福島県沖,37°08.9′N,141°14.5′E,32 km,3.3,1
2012/12/24,00:32:55.3,宮城県沖,38°20.2′N,141°50.6′E,47 km,3.2,1
2012/12/23,20:58:17.3,福島県浜通り,37°11.6′N,140°53.3′E,9 km,3.3,1
2012/12/23,18:13:30.0,豊後水道,32°51.2′N,132°07.6′E,38 km,3.0,1
2012/12/23,11:48:10.7,岐阜県飛騨地方,35°40.2′N,137°07.4′E,8 km,2.5,1
2012/12/22,17:40:40.9,福島県沖,37°15.8′N,141°30.4′E,48 km,3.3,1
2012/12/22,15:32:49.8,宮城県沖,38°27.0′N,142°00.4′E,43 km,3.9,2
2012/12/22,15:20:22.8,青森県東方沖,41°18.5′N,142°40.0′E,36 km,4.4,1
2012/12/22,15:17:17.7,伊予灘,33°31.3′N,132°17.7′E,46 km,3.5,1
