date,time,place,latitude,longitude,depth,magnitude,sindo
2022/12/31,15:51:04.0,和歌山県北部,34°01.7′N,135°14.3′E,4 km,1.2,1
2022/12/31,12:49:26.3,青森県下北地方,41°08.6′N,141°20.3′E,8 km,2.5,1
2022/12/31,12:11:18.7,福島県沖,37°42.0′N,141°33.8′E,53 km,3.8,1
2022/12/31,07:03:57.7,和歌山県北部,34°05.7′N,135°11.6′E,4 km,2.1,1
2022/12/31,01:44:54.0,父島近海,26°51.0′N,142°44.0′E,51 km,4.4,1
2022/12/30,23:10:07.4,茨城県南部,36°08.6′N,139°50.3′E,53 km,3.9,2
2022/12/30,15:45:04.9,紀伊水道,33°43.0′N,134°57.6′E,40 km,3.4,1
2022/12/30,10:18:36.9,大阪府北部,34°56.2′N,135°31.9′E,15 km,2.8,1
2022/12/30,05:26:48.7,群馬県南部,36°16.8′N,138°50.2′E,10 km,2.1,1
2022/12/30,04:28:41.4,徳島県南部,33°54.6′N,134°22.9′E,6 km,2.6,1
2022/12/29,22:43:38.8,与那国島近海,23°59.6′N,122°38.2′E,29 km,4.3,1
2022/12/29,22:22:26.6,種子島近海,30°38.1′N,131°20.9′E,32 km,3.6,1
2022/12/29,17:21:16.6,石川県能登地方,37°31.7′N,137°17.9′E,12 km,3.6,2
2022/12/29,17:02:07.6,大阪府北部,34°56.1′N,135°31.9′E,15 km,3.5,2
2022/12/29,09:36:03.2,奄美大島北東沖,29°14.9′N,130°35.7′E,70 km,4.8,2
2022/12/29,04:11:03.1,天草灘,32°32.7′N,129°53.4′E,15 km,3.1,1
2022/12/29,01:47:10.0,高知県東部,33°32.8′N,133°56.6′E,35 km,4.4,3
2022/12/28,23:14:53.8,根室半島南東沖,43°18.3′N,145°53.1′E,93 km,3.8,1
2022/12/28,03:51:16.7,福島県沖,37°45.6′N,141°47.8′E,55 km,4.6,2
2022/12/27,23:48:13.5,宮城県沖,38°23.2′N,141°39.6′E,64 km,3.8,1
2022/12/27,19:55:09.0,栃木県北部,36°55.8′N,139°43.4′E,6 km,3.0,2
2022/12/27,09:09:33.6,千葉県南部,35°18.5′N,139°58.0′E,74 km,4.0,2
2022/12/27,08:44:35.4,福島県沖,37°43.3′N,141°50.0′E,44 km,4.1,2
2022/12/27,02:43:44.9,石川県能登地方,37°29.8′N,137°13.9′E,12 km,2.5,1
2022/12/26,10:27:46.0,京都府北部,35°37.3′N,135°01.9′E,12 km,2.9,1
2022/12/26,04:37:20.1,内浦湾,42°22.6′N,140°20.2′E,15 km,3.3,2
2022/12/25,22:19:08.1,石川県能登地方,37°27.6′N,137°15.7′E,8 km,1.9,1
2022/12/25,20:23:33.9,紀伊水道,34°07.6′N,135°07.1′E,8 km,3.4,3
2022/12/25,13:28:49.2,福島県中通り,37°00.9′N,140°23.5′E,112 km,3.2,1
2022/12/25,02:12:25.7,福島県沖,37°51.6′N,141°35.0′E,49 km,3.7,1
2022/12/24,22:55:54.1,父島近海,26°50.7′N,142°40.8′E,54 km,不明,1
2022/12/24,17:35:39.2,小笠原諸島西方沖,28°11.9′N,139°06.4′E,542 km,5.2,1
2022/12/24,16:51:10.4,渡島地方西部,41°26.0′N,140°09.6′E,8 km,2.8,1
2022/12/24,01:34:01.8,千葉県北東部,35°52.1′N,140°28.8′E,37 km,3.5,2
2022/12/23,23:54:26.0,和歌山県北部,34°05.6′N,135°08.8′E,5 km,1.8,1
2022/12/23,01:39:59.1,津軽海峡,41°34.6′N,140°37.2′E,13 km,3.7,2
2022/12/22,19:28:47.1,東京湾,35°39.4′N,139°56.8′E,85 km,3.3,1
2022/12/22,18:48:05.7,宮崎県北部山沿い,32°49.8′N,131°29.1′E,68 km,3.1,1
2022/12/22,17:44:28.7,千葉県南部,35°09.2′N,140°09.3′E,15 km,3.0,1
2022/12/22,17:36:19.2,千葉県南部,35°08.6′N,140°09.7′E,15 km,2.7,1
2022/12/22,17:28:57.1,千葉県南部,35°08.6′N,140°09.5′E,15 km,3.0,1
2022/12/22,10:49:52.6,橘湾,32°40.3′N,130°02.6′E,14 km,3.0,1
2022/12/22,10:43:43.3,橘湾,32°40.3′N,130°02.4′E,14 km,3.4,2
2022/12/22,10:26:42.6,熊本県天草・芦北地方,32°19.2′N,130°28.1′E,12 km,2.3,1
2022/12/21,22:27:40.5,和歌山県北部,34°14.5′N,135°26.3′E,6 km,3.3,2
2022/12/21,04:56:48.2,新島・神津島近海,34°26.8′N,139°17.1′E,10 km,4.1,3
2022/12/21,04:49:11.9,新島・神津島近海,34°26.8′N,139°17.0′E,9 km,2.1,1
2022/12/21,04:35:01.6,能登半島沖,37°32.0′N,137°17.9′E,12 km,2.8,1
2022/12/21,03:57:45.3,埼玉県南部,35°58.8′N,139°26.4′E,103 km,3.2,1
2022/12/21,00:00:36.0,新島・神津島近海,34°26.9′N,139°16.7′E,10 km,3.8,2
2022/12/20,23:47:19.7,長野県北部,36°49.2′N,138°05.3′E,2 km,2.1,1
2022/12/20,17:54:44.2,宮崎県北部山沿い,32°28.2′N,131°28.7′E,15 km,3.3,1
2022/12/20,16:22:36.8,種子島近海,30°24.6′N,131°12.0′E,30 km,3.6,1
2022/12/19,18:32:33.3,熊本県熊本地方,32°29.4′N,130°42.7′E,11 km,3.0,1
2022/12/19,00:18:26.0,種子島近海,30°21.5′N,131°15.7′E,30 km,3.8,1
2022/12/19,00:02:03.9,千葉県北東部,35°22.7′N,140°20.7′E,27 km,4.1,4
2022/12/18,23:19:38.2,種子島近海,30°22.5′N,131°15.2′E,31 km,4.8,2
2022/12/18,21:47:23.8,青森県西方沖,40°56.7′N,139°20.6′E,17 km,3.8,1
2022/12/18,16:01:51.9,沖縄本島北西沖,26°48.0′N,126°36.8′E,108 km,4.9,2
2022/12/18,14:45:38.5,伊勢湾,34°42.2′N,136°52.8′E,13 km,3.4,2
2022/12/18,03:07:52.8,日向灘,31°49.8′N,131°37.1′E,32 km,4.1,2
2022/12/18,03:06:03.2,日向灘,31°47.3′N,131°38.0′E,34 km,5.4,4
2022/12/18,00:53:58.4,石川県能登地方,37°27.1′N,137°08.3′E,13 km,3.9,3
2022/12/16,21:22:49.5,紀伊水道,34°10.1′N,135°10.0′E,7 km,3.1,2
2022/12/16,12:08:49.0,宮古島近海,24°20.1′N,125°13.4′E,36 km,4.1,1
2022/12/16,09:25:11.5,千葉県北西部,36°04.0′N,139°48.0′E,79 km,4.3,3
2022/12/16,08:48:02.7,三陸沖,40°23.3′N,143°20.4′E,13 km,4.8,1
2022/12/16,04:53:08.7,上川地方北部,44°51.2′N,142°05.7′E,0 km,3.2,1
2022/12/16,03:07:17.5,和歌山県南部,33°42.1′N,135°48.6′E,34 km,3.2,1
2022/12/15,15:58:47.9,後志地方西部,42°42.9′N,140°19.7′E,12 km,3.6,2
2022/12/15,13:50:18.5,後志地方西部,42°42.6′N,140°19.7′E,12 km,3.2,2
2022/12/15,13:30:41.9,後志地方西部,42°42.8′N,140°19.2′E,13 km,4.3,3
2022/12/15,12:54:06.9,宮城県北部,38°44.0′N,141°05.4′E,121 km,3.4,1
2022/12/15,08:40:29.3,茨城県北部,36°38.9′N,140°36.4′E,9 km,2.8,2
2022/12/15,04:24:11.3,岩手県沖,39°38.7′N,142°06.4′E,48 km,3.2,1
2022/12/14,23:19:47.3,駿河湾,34°46.4′N,138°33.5′E,20 km,2.9,1
2022/12/14,10:59:47.5,宮古島近海,24°54.4′N,125°39.3′E,49 km,3.8,1
2022/12/14,07:55:49.2,福島県沖,37°47.3′N,141°36.2′E,55 km,4.1,1
2022/12/14,07:37:35.1,長野県南部,35°48.6′N,137°27.6′E,6 km,2.8,2
2022/12/14,04:13:42.8,奄美大島近海,27°34.4′N,129°24.9′E,33 km,3.3,1
2022/12/14,00:08:50.7,宮城県沖,38°26.0′N,142°06.5′E,29 km,4.0,1
2022/12/13,23:25:20.3,奄美大島近海,27°36.0′N,129°24.8′E,37 km,6.0,4
2022/12/13,20:01:56.2,石川県能登地方,37°30.5′N,137°17.9′E,14 km,2.8,1
2022/12/13,18:58:33.3,父島近海,26°51.7′N,142°48.5′E,35 km,不明,1
2022/12/13,12:44:42.2,宮古島近海,24°49.0′N,125°22.7′E,42 km,3.4,1
2022/12/13,08:48:48.8,宮古島近海,24°54.6′N,124°47.3′E,14 km,3.6,1
2022/12/13,03:15:59.2,北海道東方沖,43°14.8′N,146°55.8′E,47 km,4.0,1
2022/12/12,16:17:42.0,秋田県内陸北部,40°01.9′N,140°33.0′E,8 km,3.0,1
2022/12/12,14:08:51.1,橘湾,32°40.1′N,130°03.3′E,13 km,2.3,1
2022/12/12,06:14:59.5,新島・神津島近海,34°27.2′N,139°16.4′E,9 km,2.8,1
2022/12/12,05:29:24.8,岩手県沖,39°19.9′N,142°04.8′E,48 km,4.1,2
2022/12/11,21:43:45.4,十勝沖,41°50.3′N,144°16.0′E,17 km,4.6,1
2022/12/11,21:03:20.6,十勝沖,41°49.7′N,144°16.1′E,16 km,4.8,1
2022/12/11,18:46:37.8,福島県沖,37°12.6′N,141°31.1′E,23 km,4.8,3
2022/12/11,10:03:06.8,和歌山県北部,34°14.4′N,135°10.9′E,7 km,2.8,1
2022/12/11,06:40:16.3,栃木県北部,36°39.1′N,139°27.5′E,5 km,3.2,3
2022/12/11,06:17:33.1,豊後水道,32°58.1′N,132°05.7′E,43 km,3.4,1
2022/12/11,05:01:47.8,石川県能登地方,37°31.2′N,137°17.5′E,12 km,2.9,1
2022/12/11,02:22:51.7,石川県能登地方,37°31.7′N,137°17.5′E,12 km,3.0,1
2022/12/11,00:27:27.9,石川県能登地方,37°31.5′N,137°17.5′E,12 km,3.6,2
2022/12/10,23:41:50.1,埼玉県北部,36°03.4′N,139°23.4′E,67 km,3.1,1
2022/12/10,12:21:28.9,新島・神津島近海,34°27.2′N,139°16.4′E,10 km,3.6,2
2022/12/10,07:44:35.1,沖縄本島近海,27°26.8′N,128°40.1′E,42 km,3.9,2
2022/12/10,06:37:02.4,東京都23区,35°39.4′N,139°43.2′E,119 km,4.1,2
2022/12/10,02:44:19.2,石川県能登地方,37°31.4′N,137°17.4′E,12 km,2.9,1
2022/12/09,17:33:25.5,茨城県北部,36°35.1′N,140°35.2′E,85 km,3.7,1
2022/12/09,05:58:06.7,石川県能登地方,37°31.2′N,137°17.4′E,12 km,4.1,3
2022/12/08,22:29:55.7,鹿児島湾,31°18.2′N,130°41.6′E,9 km,4.1,3
2022/12/08,19:09:25.1,茨城県南部,36°13.8′N,139°47.2′E,58 km,3.3,1
2022/12/08,18:47:26.8,父島近海,26°36.6′N,142°42.3′E,0 km,4.7,1
2022/12/08,12:56:45.3,宮城県沖,38°55.0′N,141°56.2′E,50 km,3.7,1
2022/12/08,07:51:58.3,橘湾,32°40.4′N,130°02.7′E,14 km,2.3,1
2022/12/07,23:48:56.4,福島県沖,37°02.3′N,141°09.7′E,19 km,4.0,2
2022/12/07,21:24:05.5,橘湾,32°40.3′N,130°03.2′E,14 km,2.9,2
2022/12/07,18:42:41.0,熊本県熊本地方,32°39.6′N,130°41.8′E,16 km,3.2,1
2022/12/07,16:26:36.4,奄美大島近海,28°32.9′N,129°45.2′E,31 km,3.7,1
2022/12/07,13:06:32.5,福島県沖,37°02.3′N,141°09.6′E,18 km,4.1,2
2022/12/07,05:39:53.0,茨城県沖,36°27.9′N,141°05.3′E,41 km,4.0,2
2022/12/06,11:41:00.6,福島県沖,36°57.0′N,141°03.9′E,50 km,3.0,1
2022/12/06,04:20:54.7,十勝地方南部,42°35.0′N,143°29.9′E,70 km,3.6,1
2022/12/06,03:30:54.8,福島県沖,37°41.4′N,141°39.2′E,60 km,3.7,1
2022/12/06,03:06:44.8,浦河沖,41°53.4′N,142°23.5′E,72 km,3.9,1
2022/12/06,00:20:55.5,青森県東方沖,41°03.1′N,142°23.1′E,48 km,4.6,2
2022/12/05,13:30:12.8,茨城県沖,36°15.7′N,140°54.8′E,45 km,3.4,1
2022/12/05,10:14:50.3,橘湾,32°40.3′N,130°03.0′E,14 km,3.4,3
2022/12/05,05:27:11.1,九州地方南東沖,31°23.8′N,132°27.9′E,53 km,4.4,1
2022/12/05,03:36:57.1,宮城県沖,38°53.3′N,141°58.2′E,49 km,3.7,2
2022/12/05,02:47:06.5,石川県能登地方,37°30.9′N,137°13.4′E,14 km,3.2,1
2022/12/04,11:29:27.3,日向灘,31°51.6′N,131°42.1′E,37 km,3.1,1
2022/12/04,09:29:01.9,群馬県南部,36°18.7′N,139°08.8′E,100 km,3.2,1
2022/12/04,03:13:51.3,石川県能登地方,37°31.0′N,137°15.4′E,14 km,2.7,1
2022/12/04,02:41:32.9,茨城県北部,36°52.8′N,140°21.2′E,92 km,3.3,1
2022/12/03,19:21:51.6,苫小牧沖,42°08.8′N,141°55.9′E,86 km,3.4,2
2022/12/03,02:36:57.7,渡島地方東部,41°51.5′N,140°37.9′E,7 km,1.8,1
2022/12/02,21:04:30.7,千葉県東方沖,35°23.8′N,140°27.8′E,58 km,3.8,2
2022/12/02,14:49:26.4,茨城県北部,36°38.7′N,140°36.4′E,9 km,2.9,2
2022/12/02,11:19:48.4,和歌山県南方沖,33°29.8′N,135°36.1′E,24 km,3.0,1
2022/12/02,10:37:30.3,徳島県南部,33°46.6′N,134°19.0′E,13 km,2.9,1
