date,time,place,latitude,longitude,depth,magnitude,sindo
2015/12/31,22:03:24.7,西表島付近,23°57.6′N,123°35.5′E,31 km,3.6,1
2015/12/30,20:53:49.0,青森県東方沖,40°54.1′N,142°42.8′E,21 km,4.1,1
2015/12/30,08:22:10.1,熊本県熊本地方,32°58.6′N,130°55.9′E,4 km,2.1,1
2015/12/30,07:56:55.0,熊本県熊本地方,32°58.5′N,130°55.8′E,3 km,2.1,1
2015/12/30,05:07:02.3,岐阜県飛騨地方,36°19.6′N,137°08.8′E,9 km,2.7,1
2015/12/29,02:12:19.3,天草灘,32°30.4′N,129°51.4′E,13 km,3.4,2
2015/12/28,20:07:49.1,福岡県北西沖,33°38.6′N,130°16.9′E,12 km,3.9,3
2015/12/28,09:49:17.1,新島・神津島近海,34°24.4′N,139°15.3′E,10 km,2.1,1
2015/12/28,05:53:03.0,茨城県南部,36°21.5′N,140°01.2′E,68 km,3.1,1
2015/12/27,19:23:34.1,千葉県東方沖,35°52.7′N,140°55.0′E,25 km,3.2,1
2015/12/27,17:30:12.6,宮城県沖,38°47.5′N,142°05.9′E,40 km,3.3,1
2015/12/27,14:16:45.8,奄美大島近海,28°17.5′N,129°32.7′E,32 km,2.8,1
2015/12/26,23:20:54.2,東京湾,35°30.5′N,139°51.0′E,23 km,3.4,2
2015/12/26,23:18:44.5,東京湾,35°30.8′N,139°51.4′E,23 km,2.8,1
2015/12/26,23:16:02.5,東京湾,35°30.9′N,139°51.2′E,23 km,2.9,1
2015/12/26,23:04:29.9,東京湾,35°30.6′N,139°52.6′E,20 km,2.9,1
2015/12/26,22:12:13.9,東京湾,35°30.8′N,139°50.9′E,26 km,3.1,2
2015/12/26,17:06:06.1,宮城県沖,38°42.9′N,141°33.5′E,58 km,3.7,1
2015/12/26,07:38:33.5,奄美大島近海,28°22.7′N,130°01.5′E,27 km,3.3,2
2015/12/26,01:42:23.2,岩手県沿岸北部,39°40.4′N,141°28.3′E,14 km,4.4,3
2015/12/25,22:53:25.5,福島県中通り,37°03.8′N,140°32.6′E,10 km,2.8,1
2015/12/25,17:02:54.7,福島県浜通り,37°03.3′N,140°41.8′E,17 km,3.5,2
2015/12/25,15:54:21.4,岩手県沖,39°25.5′N,142°41.4′E,31 km,4.0,1
2015/12/25,15:02:06.2,秋田県内陸北部,39°59.7′N,140°34.5′E,3 km,3.6,2
2015/12/25,13:04:58.4,トカラ列島近海,29°15.0′N,129°07.6′E,10 km,2.7,1
2015/12/25,11:20:38.9,四国沖,33°33.5′N,134°28.5′E,34 km,4.2,3
2015/12/25,00:13:43.8,福島県中通り,36°53.0′N,140°33.2′E,8 km,2.9,1
2015/12/24,17:09:57.3,宮城県沖,38°28.2′N,142°04.8′E,49 km,3.7,1
2015/12/24,08:51:33.3,愛知県東部,34°38.3′N,137°05.6′E,8 km,2.7,1
2015/12/23,22:39:55.0,釧路沖,42°34.1′N,144°18.4′E,62 km,3.6,1
2015/12/23,19:09:00.9,日向灘,32°08.1′N,131°50.6′E,39 km,3.1,1
2015/12/23,15:21:19.4,小笠原諸島西方沖,27°16.0′N,140°57.8′E,29 km,不明,1
2015/12/23,10:00:52.1,大分県中部,33°18.7′N,131°22.6′E,9 km,2.9,2
2015/12/23,09:33:55.6,茨城県沖,36°21.2′N,140°56.2′E,47 km,3.9,2
2015/12/22,21:35:00.4,長野県南部,35°47.3′N,137°27.4′E,9 km,2.6,1
2015/12/22,21:18:54.5,茨城県南部,36°10.7′N,140°00.3′E,51 km,3.7,2
2015/12/22,20:12:25.3,岩手県沿岸北部,40°04.2′N,141°49.7′E,7 km,3.5,3
2015/12/22,15:30:17.7,茨城県北部,36°45.5′N,140°36.6′E,6 km,3.4,1
