date,time,place,latitude,longitude,depth,magnitude,sindo
2024/12/31,11:01:07.7,宮城県北部,38°55.3′N,140°52.6′E,7 km,3.3,1
2024/12/31,01:33:07.8,奄美大島北西沖,28°07.0′N,128°02.2′E,12 km,4.2,1
2024/12/30,19:35:11.1,福島県会津,37°25.7′N,139°41.7′E,4 km,2.1,1
2024/12/30,18:34:14.4,鹿児島県薩摩地方,31°54.3′N,130°44.3′E,7 km,1.2,1
2024/12/30,18:20:53.9,奄美大島北西沖,28°07.3′N,128°07.8′E,17 km,4.4,2
2024/12/30,15:04:56.8,内浦湾,42°22.7′N,140°20.1′E,15 km,2.8,1
2024/12/30,10:16:06.5,石川県西方沖,36°55.6′N,136°21.9′E,13 km,3.2,1
2024/12/30,10:08:36.5,秋田県内陸南部,38°58.3′N,140°33.4′E,2 km,2.7,1
2024/12/29,14:19:53.3,津軽海峡,41°37.5′N,141°16.6′E,93 km,3.7,1
2024/12/29,04:36:23.4,石川県西方沖,37°01.8′N,136°25.2′E,10 km,4.2,2
2024/12/29,01:44:28.2,茨城県北部,36°46.7′N,140°33.5′E,7 km,3.7,2
2024/12/29,01:33:36.5,徳島県南部,33°48.2′N,134°19.9′E,14 km,3.9,3
2024/12/28,19:45:36.9,宮城県沖,38°55.2′N,141°56.1′E,50 km,3.6,1
2024/12/28,04:10:05.0,福島県沖,37°20.6′N,141°34.8′E,43 km,5.3,4
2024/12/28,02:22:42.2,和歌山県北部,33°54.1′N,135°11.5′E,8 km,2.8,1
2024/12/28,01:55:54.2,千葉県東方沖,35°25.9′N,140°28.4′E,56 km,4.2,2
2024/12/28,00:46:44.6,根室半島南東沖,42°59.2′N,146°52.7′E,50 km,4.3,1
2024/12/27,21:47:40.4,千島列島,46°20.2′N,151°28.4′E,210 km,6.8,2
2024/12/27,20:47:32.8,奄美大島北西沖,28°07.7′N,128°04.7′E,9 km,4.5,2
2024/12/27,19:14:15.6,山梨県東部・富士五湖,35°28.6′N,138°59.3′E,20 km,2.6,1
2024/12/27,04:52:11.5,茨城県沖,36°29.4′N,141°10.1′E,39 km,3.5,1
2024/12/26,22:17:54.0,奄美大島北西沖,28°06.8′N,128°05.2′E,7 km,4.1,1
2024/12/26,19:01:36.1,釧路地方中南部,43°07.1′N,144°57.9′E,71 km,3.5,2
2024/12/25,20:06:21.7,奄美大島北西沖,28°07.3′N,128°05.4′E,17 km,4.2,1
2024/12/25,16:32:29.4,岩手県内陸北部,39°32.2′N,141°01.0′E,11 km,2.5,1
2024/12/25,08:23:48.3,岐阜県美濃中西部,35°52.1′N,136°55.9′E,9 km,3.1,1
2024/12/24,23:18:15.0,長野県中部,36°07.2′N,137°51.0′E,4 km,2.8,2
2024/12/24,11:30:54.0,石川県能登地方,37°10.1′N,136°41.0′E,3 km,1.9,1
2024/12/24,07:11:57.9,石川県西方沖,36°56.7′N,136°25.3′E,12 km,4.4,3
2024/12/24,07:06:24.6,陸奥湾,41°02.6′N,141°03.9′E,10 km,3.1,1
2024/12/24,07:03:46.2,石川県西方沖,36°56.9′N,136°25.5′E,12 km,3.7,2
2024/12/24,06:55:33.2,島根県西部,34°40.1′N,131°58.7′E,12 km,3.8,3
2024/12/23,17:14:08.2,岩手県沖,40°05.7′N,141°52.3′E,97 km,3.7,1
2024/12/23,14:48:52.7,富山県西部,36°18.4′N,137°00.3′E,5 km,1.7,1
2024/12/23,09:57:26.3,日高地方中部,42°32.0′N,142°36.6′E,33 km,3.7,1
2024/12/22,19:15:09.1,富山県東部,36°28.8′N,137°26.7′E,7 km,3.0,1
2024/12/22,16:55:51.2,鹿児島県薩摩地方,31°55.4′N,130°43.9′E,171 km,4.7,2
2024/12/22,02:06:34.8,石川県西方沖,37°00.6′N,136°23.4′E,11 km,3.6,1
2024/12/21,19:48:57.3,大隅半島東方沖,31°23.9′N,131°45.7′E,23 km,3.5,1
2024/12/21,17:01:31.8,石川県能登地方,37°10.7′N,136°44.1′E,7 km,2.6,1
2024/12/21,12:58:05.9,茨城県南部,36°05.2′N,139°53.1′E,47 km,3.0,1
2024/12/21,08:06:22.1,福島県沖,37°29.8′N,141°18.6′E,30 km,3.2,1
2024/12/21,05:00:40.0,新潟県上中越沖,37°23.9′N,138°06.1′E,28 km,3.2,1
2024/12/21,04:16:39.2,茨城県沖,36°29.9′N,140°45.0′E,18 km,2.9,1
2024/12/21,03:58:26.5,八丈島東方沖,33°19.6′N,140°53.1′E,54 km,4.6,1
2024/12/20,18:10:24.1,長野県中部,36°14.0′N,137°54.6′E,9 km,2.8,1
2024/12/20,12:39:04.7,石川県西方沖,36°56.3′N,136°24.8′E,12 km,3.6,2
2024/12/20,11:51:28.7,日向灘,31°31.7′N,131°51.9′E,26 km,3.7,1
2024/12/20,08:11:49.8,陸奥湾,41°02.0′N,141°04.3′E,9 km,3.3,1
2024/12/20,00:06:20.8,石川県西方沖,36°55.2′N,136°20.8′E,13 km,3.8,1
2024/12/19,18:54:17.2,青森県津軽北部,40°41.6′N,140°28.2′E,14 km,3.1,2
2024/12/19,06:42:27.8,島根県東部,35°26.3′N,133°15.6′E,10 km,2.6,1
2024/12/18,19:04:27.2,茨城県北部,36°43.2′N,140°37.5′E,7 km,2.5,1
2024/12/18,00:38:42.6,石川県能登地方,37°30.7′N,137°15.2′E,10 km,3.3,2
2024/12/17,22:11:16.1,茨城県南部,36°14.2′N,140°06.3′E,54 km,4.2,4
2024/12/17,13:09:34.6,薩摩半島西方沖,31°06.5′N,130°21.6′E,164 km,5.2,3
2024/12/17,12:27:44.8,神奈川県西部,35°23.7′N,139°09.6′E,12 km,2.8,2
2024/12/17,09:22:56.4,能登半島沖,37°08.1′N,136°39.0′E,9 km,3.2,2
2024/12/16,16:21:01.7,岐阜県飛騨地方,36°02.4′N,137°31.7′E,6 km,2.1,1
2024/12/16,13:51:11.3,千葉県東方沖,35°41.4′N,140°45.2′E,47 km,3.4,1
2024/12/16,11:34:00.8,種子島近海,30°03.5′N,130°28.6′E,52 km,4.1,2
2024/12/16,04:37:55.5,和歌山県北部,34°01.4′N,135°17.0′E,6 km,4.2,3
2024/12/15,23:23:12.6,福島県沖,37°18.3′N,141°36.2′E,42 km,3.4,1
2024/12/15,22:45:45.2,和歌山県北部,33°54.8′N,135°12.8′E,8 km,2.4,1
2024/12/15,13:46:43.4,四国沖,33°17.3′N,134°57.2′E,29 km,3.7,1
2024/12/15,10:58:52.3,千葉県東方沖,35°25.2′N,140°29.4′E,56 km,3.4,2
2024/12/15,10:26:38.9,トカラ列島近海,29°21.9′N,129°28.8′E,15 km,2.0,1
2024/12/15,06:56:40.9,茨城県北部,36°45.1′N,140°34.6′E,9 km,2.7,1
