date,time,place,latitude,longitude,depth,magnitude,sindo
2021/12/31,23:23:38.2,種子島近海,29°58.9′N,130°48.6′E,28 km,3.8,1
2021/12/31,23:17:20.1,岩手県内陸北部,40°12.9′N,141°05.4′E,8 km,2.6,1
2021/12/31,14:52:43.0,石川県能登地方,37°30.8′N,137°14.5′E,14 km,4.3,3
2021/12/31,04:02:07.1,和歌山県北部,34°16.8′N,135°16.2′E,8 km,3.3,2
2021/12/30,17:45:37.4,宮古島近海,25°11.9′N,125°37.5′E,36 km,4.7,1
2021/12/30,15:47:09.2,与那国島近海,23°54.6′N,122°29.2′E,22 km,5.5,2
2021/12/30,12:59:14.8,岩手県沖,39°37.9′N,142°06.3′E,49 km,3.5,1
2021/12/30,09:41:58.9,千葉県北西部,35°38.6′N,140°07.3′E,71 km,4.2,2
2021/12/30,09:37:07.9,宮古島近海,25°12.9′N,125°37.6′E,35 km,4.2,1
2021/12/30,08:53:51.4,熊本県熊本地方,32°30.2′N,130°38.3′E,10 km,2.9,1
2021/12/29,22:08:10.0,トカラ列島近海,29°23.3′N,129°30.1′E,21 km,2.5,1
2021/12/29,11:33:05.5,東京都23区,35°42.1′N,139°36.9′E,31 km,3.5,3
2021/12/29,09:22:15.6,京都府南部,35°04.5′N,135°36.5′E,12 km,3.4,2
2021/12/29,07:08:37.6,長野県中部,36°07.4′N,137°38.5′E,6 km,2.4,1
2021/12/29,05:47:38.0,浦河沖,42°02.2′N,142°35.7′E,62 km,3.9,1
2021/12/29,04:23:10.6,京都府南部,35°04.4′N,135°36.6′E,12 km,2.8,1
2021/12/29,02:45:43.6,青森県東方沖,41°35.2′N,142°05.4′E,54 km,3.2,1
2021/12/29,02:18:14.4,釧路沖,43°04.0′N,145°10.1′E,19 km,3.2,1
2021/12/28,11:59:29.5,熊本県天草・芦北地方,32°30.0′N,130°32.0′E,10 km,2.8,1
2021/12/28,09:07:29.7,トカラ列島近海,29°24.4′N,129°37.2′E,9 km,2.1,1
2021/12/28,07:52:54.0,岩手県沿岸北部,39°45.4′N,141°50.8′E,58 km,3.4,1
2021/12/28,04:17:43.9,和歌山県北部,34°12.9′N,135°12.2′E,4 km,2.6,2
2021/12/28,04:08:53.8,千葉県北東部,35°44.9′N,140°40.9′E,46 km,3.5,1
2021/12/27,11:43:35.0,長野県北部,36°42.0′N,138°23.8′E,4 km,2.4,1
2021/12/27,09:11:50.9,硫黄島近海,23°01.2′N,143°17.8′E,154 km,5.4,1
2021/12/27,07:17:54.9,熊本県熊本地方,32°39.4′N,130°41.3′E,10 km,2.5,1
2021/12/27,04:40:04.9,浦河沖,41°57.0′N,142°20.6′E,71 km,4.2,2
2021/12/27,02:52:57.5,岩手県沖,39°06.5′N,142°07.5′E,44 km,3.5,1
2021/12/27,01:17:59.4,宮古島近海,25°07.6′N,125°37.6′E,37 km,4.2,1
2021/12/26,22:40:59.3,父島近海,28°08.1′N,141°57.2′E,65 km,4.9,1
2021/12/26,20:10:27.5,宮城県沖,38°49.2′N,141°59.9′E,46 km,3.2,1
2021/12/26,18:50:30.7,高知県中部,33°42.6′N,133°24.8′E,6 km,3.2,2
2021/12/26,18:17:01.1,宮古島近海,25°10.8′N,125°37.4′E,37 km,4.9,1
2021/12/26,17:26:47.1,宮古島近海,25°08.3′N,125°37.9′E,39 km,6.1,4
2021/12/26,13:38:41.8,千葉県東方沖,35°39.1′N,140°51.1′E,13 km,3.3,1
2021/12/26,04:46:10.6,根室半島南東沖,43°00.6′N,145°42.5′E,45 km,3.9,1
2021/12/26,03:46:10.6,トカラ列島近海,29°22.0′N,129°33.9′E,15 km,2.3,1
2021/12/26,00:13:29.3,長野県北部,36°54.7′N,138°34.3′E,5 km,3.4,2
2021/12/25,19:40:40.4,国後島付近,43°58.0′N,145°43.7′E,127 km,3.8,1
2021/12/25,13:37:17.6,種子島近海,29°58.4′N,130°32.4′E,19 km,3.7,1
2021/12/25,09:30:58.5,栃木県北部,37°03.7′N,139°51.6′E,8 km,4.0,3
2021/12/25,05:01:57.1,長野県北部,36°54.8′N,138°34.3′E,6 km,3.0,1
2021/12/25,04:41:40.5,長野県北部,36°54.8′N,138°34.5′E,6 km,3.4,2
2021/12/25,03:07:17.6,和歌山県北部,34°02.0′N,135°15.6′E,4 km,3.2,1
2021/12/24,16:16:16.5,トカラ列島近海,29°21.4′N,129°33.6′E,7 km,2.0,1
2021/12/23,17:45:21.7,千葉県東方沖,35°32.2′N,140°58.8′E,33 km,4.2,1
2021/12/23,06:53:51.7,青森県東方沖,40°59.1′N,142°23.6′E,47 km,4.0,1
2021/12/23,00:32:57.5,西表島付近,24°08.1′N,123°50.5′E,19 km,3.2,1
2021/12/22,22:51:25.9,和歌山県北部,34°12.6′N,135°13.1′E,3 km,2.0,1
2021/12/22,18:41:13.8,能登半島沖,37°31.1′N,137°13.4′E,13 km,2.7,1
2021/12/22,17:42:15.8,福島県会津,37°46.3′N,140°03.9′E,7 km,2.9,1
2021/12/22,16:06:57.8,沖縄本島北西沖,27°06.7′N,126°35.6′E,18 km,4.8,1
2021/12/22,13:48:34.9,トカラ列島近海,29°20.1′N,129°27.7′E,15 km,2.4,1
2021/12/22,06:40:37.4,トカラ列島近海,29°19.4′N,129°34.0′E,14 km,2.6,1
2021/12/22,04:57:33.0,トカラ列島近海,29°25.2′N,129°28.5′E,25 km,2.6,1
2021/12/21,11:53:15.7,国後島付近,43°43.8′N,146°03.0′E,96 km,5.0,3
2021/12/21,08:00:17.2,奈良県,34°38.2′N,135°42.6′E,5 km,2.7,1
2021/12/21,01:05:26.1,日高地方中部,42°23.1′N,142°39.4′E,39 km,4.8,3
2021/12/20,03:02:18.9,栃木県南部,36°14.3′N,139°46.9′E,59 km,3.4,2
2021/12/19,20:01:15.9,トカラ列島近海,29°18.3′N,129°29.8′E,12 km,2.7,1
2021/12/19,17:54:20.6,宮城県沖,38°25.8′N,141°54.9′E,63 km,3.8,1
2021/12/19,16:27:25.8,石川県能登地方,37°30.6′N,137°12.8′E,13 km,2.7,1
2021/12/19,08:17:19.8,愛知県西部,34°53.4′N,136°51.3′E,18 km,2.7,1
2021/12/19,07:49:59.8,父島近海,27°23.9′N,142°12.0′E,38 km,不明,1
2021/12/19,06:41:30.6,静岡県中部,35°00.6′N,138°24.4′E,26 km,3.2,1
